Date,Price,Open,High,Low,Vol.,Change %
2018-02-02,1337.3,1352.2,1353.3,1330.1,-,-0.79%
2018-02-01,1347.9,1348.2,1354.3,1340.2,310.50K,0.36%
2018-01-31,1343.1,1341.8,1351.0,1335.5,377.14K,0.23%
2018-01-30,1340.0,1344.0,1352.5,1337.5,412.52K,-0.38%
2018-01-29,1345.1,1353.7,1356.3,1340.9,233.76K,-0.36%
2018-01-28,1350.0,1349.0,1350.1,1347.9,-,-0.53%
2018-01-26,1357.2,1352.7,1361.0,1348.6,142.27K,-0.79%
2018-01-25,1368.0,1362.7,1370.5,1346.2,142.58K,0.48%
2018-01-24,1361.4,1346.2,1366.8,1344.1,159.34K,1.47%
2018-01-23,1341.7,1338.4,1346.6,1335.8,70.40K,0.36%
2018-01-22,1336.9,1339.4,1340.3,1332.9,104.32K,0.29%
2018-01-19,1333.1,1327.0,1338.2,1326.6,275.30K,0.44%
2018-01-18,1327.2,1327.4,1333.3,1324.3,312.11K,-0.90%
2018-01-17,1339.2,1339.0,1344.5,1326.6,365.87K,0.16%
2018-01-16,1337.1,1337.3,1345.0,1332.1,499.76K,-0.35%
2018-01-15,1341.8,1337.3,1344.9,1337.0,-,0.33%
2018-01-14,1337.4,1337.7,1338.6,1336.4,-,0.19%
2018-01-12,1334.9,1323.6,1340.0,1320.8,365.20K,0.94%
2018-01-11,1322.5,1317.5,1324.7,1316.1,264.30K,0.24%
2018-01-10,1319.3,1313.3,1328.6,1308.9,391.66K,0.43%
2018-01-09,1313.7,1321.2,1321.4,1309.5,333.53K,-0.51%
2018-01-08,1320.4,1321.8,1323.0,1315.7,246.09K,-0.14%
2018-01-05,1322.3,1324.4,1324.7,1314.6,330.23K,0.05%
2018-01-04,1321.6,1315.5,1327.3,1307.1,369.85K,0.24%
2018-01-03,1318.5,1319.0,1323.0,1308.9,353.46K,0.18%
